,0.1,0.9,0.5
2019-01-28 18:30:00,135628.890625,157343.484375,146217.328125
2019-01-28 18:35:00,129788.359375,152822.34375,140774.609375
2019-01-28 18:40:00,127693.8203125,147481.125,135661.296875
2019-01-28 18:45:00,122551.484375,141631.703125,131759.84375
2019-01-28 18:50:00,118589.984375,136575.71875,126926.6484375
2019-01-28 18:55:00,112986.09375,130594.609375,119246.6171875
2019-01-28 19:00:00,108531.0625,126516.2109375,116053.125
2019-01-28 19:05:00,102655.6484375,120066.8125,111013.5625
2019-01-28 19:10:00,99474.8984375,115391.890625,105772.9140625
2019-01-28 19:15:00,95045.4296875,108894.078125,101226.8046875
2019-01-28 19:20:00,89203.734375,106116.65625,96538.703125
2019-01-28 19:25:00,84292.03125,100255.234375,91281.53125
2019-01-28 19:30:00,79332.5703125,96377.078125,86155.1015625
2019-01-28 19:35:00,75761.25,91164.09375,82068.2578125
2019-01-28 19:40:00,72565.6796875,86446.5078125,77568.0625
2019-01-28 19:45:00,69146.375,82622.90625,74782.71875
2019-01-28 19:50:00,65728.1875,76032.140625,71093.1953125
2019-01-28 19:55:00,63002.80859375,73536.515625,68571.15625
2019-01-28 20:00:00,57738.86328125,70772.40625,65107.97265625
2019-01-28 20:05:00,56422.32421875,69139.3125,61960.6875
2019-01-28 20:10:00,53605.2890625,65570.25,59294.3046875
2019-01-28 20:15:00,51050.4921875,61459.96875,55366.7890625
2019-01-28 20:20:00,47563.08203125,60205.99609375,52981.84375
2019-01-28 20:25:00,45025.20703125,56208.265625,51038.01171875
2019-01-28 20:30:00,43967.41796875,54717.17578125,48726.47265625
2019-01-28 20:35:00,40675.17578125,51699.95703125,46800.5546875
2019-01-28 20:40:00,39154.7265625,49661.4609375,44797.1875
2019-01-28 20:45:00,37627.45703125,48186.10546875,41356.08203125
2019-01-28 20:50:00,34062.0078125,44400.8984375,39977.58203125
2019-01-28 20:55:00,33139.5390625,42112.05859375,36984.44140625
2019-01-28 21:00:00,32315.123046875,41543.86328125,37201.609375
2019-01-28 21:05:00,31721.02734375,39304.078125,34843.625
2019-01-28 21:10:00,29846.296875,38006.7734375,33915.4140625
2019-01-28 21:15:00,28630.255859375,36722.0703125,32690.873046875
2019-01-28 21:20:00,26368.59375,35145.38671875,31262.2890625
2019-01-28 21:25:00,24222.56640625,34555.3984375,29167.662109375
2019-01-28 21:30:00,24224.234375,32845.98046875,27250.82421875
2019-01-28 21:35:00,22018.94921875,29846.763671875,25796.12890625
2019-01-28 21:40:00,19856.5390625,29138.87890625,23489.875
2019-01-28 21:45:00,19112.248046875,26866.22265625,22567.146484375
2019-01-28 21:50:00,14721.0166015625,25240.41015625,19963.69140625
2019-01-28 21:55:00,14739.7421875,23224.552734375,18242.96875
2019-01-28 22:00:00,12681.158203125,21505.96484375,17505.0625
2019-01-28 22:05:00,10585.400390625,19952.28515625,15561.3544921875
2019-01-28 22:10:00,9956.068359375,18565.060546875,14304.1337890625
2019-01-28 22:15:00,9459.533203125,16555.544921875,13049.1044921875
2019-01-28 22:20:00,8223.330078125,15795.6845703125,11875.61328125
2019-01-28 22:25:00,6690.8813476562,13912.3095703125,10044.712890625
2019-01-28 22:30:00,5093.4521484375,12140.064453125,8702.7998046875
2019-01-28 22:35:00,3865.8090820312,10649.0185546875,7394.7534179688
2019-01-28 22:40:00,1738.349609375,9604.2080078125,5072.3076171875
2019-01-28 22:45:00,-242.1306152344,8405.060546875,3779.7255859375
2019-01-28 22:50:00,-650.8265991211,6717.77734375,2519.9169921875
2019-01-28 22:55:00,-2502.5512695312,4587.763671875,683.744140625
2019-01-28 23:00:00,-2873.6000976562,4783.28125,314.4916381836
2019-01-28 23:05:00,-4805.3955078125,3467.84765625,-1234.2552490234
2019-01-28 23:10:00,-6265.6328125,3400.6049804688,-1056.3059082031
2019-01-28 23:15:00,-4788.6958007812,1347.0288085938,-1406.5356445312
2019-01-28 23:20:00,-5784.9990234375,2240.2897949219,-1925.3070068359
2019-01-28 23:25:00,-7124.8432617188,1753.9864501953,-3243.2529296875
2019-01-28 23:30:00,-6582.015625,-312.4985351562,-3706.1645507812
2019-01-28 23:35:00,-7450.1025390625,-165.8735351562,-3804.6801757812
2019-01-28 23:40:00,-8291.1083984375,-1269.400390625,-4575.2065429688
2019-01-28 23:45:00,-9121.478515625,-231.6640625,-5286.3256835938
2019-01-28 23:50:00,-8515.9296875,-2386.9445800781,-5946.826171875
2019-01-28 23:55:00,-10686.328125,-2135.1831054688,-6858.5068359375
2019-01-29 00:00:00,-13949.66015625,-6701.615234375,-10948.89453125
2019-01-29 00:05:00,-14800.7666015625,-8094.30078125,-11547.5078125
2019-01-29 00:10:00,-14013.3681640625,-6717.3872070312,-10109.662109375
2019-01-29 00:15:00,-12886.6064453125,-5019.337890625,-9504.3115234375
2019-01-29 00:20:00,-11256.14453125,-4366.7333984375,-8270.638671875
2019-01-29 00:25:00,-10561.650390625,-4969.6235351562,-7823.8369140625
2019-01-29 00:30:00,-10968.775390625,-3782.1655273438,-7524.2373046875
2019-01-29 00:35:00,-10413.4775390625,-2659.189453125,-6089.2739257812
2019-01-29 00:40:00,-10256.498046875,-2441.7280273438,-6534.779296875
2019-01-29 00:45:00,-9749.6796875,-2505.1098632812,-6141.298828125
2019-01-29 00:50:00,-9763.322265625,-1352.8334960938,-6349.9140625
2019-01-29 00:55:00,-10237.1845703125,-1309.0173339844,-6629.3305664062
2019-01-29 01:00:00,-11395.1962890625,-3368.478515625,-6481.1225585938
2019-01-29 01:05:00,-11941.1494140625,-3301.2561035156,-6909.6787109375
2019-01-29 01:10:00,-10686.123046875,-2802.0524902344,-7077.6440429688
2019-01-29 01:15:00,-11837.1962890625,-2615.9301757812,-7532.4663085938
2019-01-29 01:20:00,-11496.55859375,-3658.9243164062,-7321.2802734375
2019-01-29 01:25:00,-11139.91796875,-4050.8349609375,-7386.4658203125
2019-01-29 01:30:00,-12053.26953125,-4233.4609375,-8157.1938476562
2019-01-29 01:35:00,-11228.189453125,-4505.5336914062,-8157.2885742188
2019-01-29 01:40:00,-11113.18359375,-3906.2075195312,-7654.5283203125
2019-01-29 01:45:00,-13328.9130859375,-4790.4208984375,-8308.49609375
2019-01-29 01:50:00,-13418.6865234375,-4746.4643554688,-9166.162109375
2019-01-29 01:55:00,-12464.3056640625,-4309.6235351562,-9006.921875
2019-01-29 02:00:00,-14422.30859375,-4973.662109375,-9839.201171875
2019-01-29 02:05:00,-13033.0380859375,-4755.873046875,-9250.8408203125
2019-01-29 02:10:00,-13760.8857421875,-4851.0737304688,-9120.201171875
2019-01-29 02:15:00,-13160.65625,-4923.287109375,-8546.388671875
2019-01-29 02:20:00,-12985.9658203125,-4506.77734375,-8460.103515625
2019-01-29 02:25:00,-13583.578125,-3664.0354003906,-8243.19140625
2019-01-29 02:30:00,-12685.548828125,-3087.712890625,-8147.32421875
2019-01-29 02:35:00,-12378.736328125,-3093.9372558594,-7530.453125
2019-01-29 02:40:00,-11344.45703125,-3593.3530273438,-8148.314453125
2019-01-29 02:45:00,-13122.58203125,-3602.1936035156,-8068.17578125
2019-01-29 02:50:00,-11715.78125,-2495.291015625,-6886.328125
2019-01-29 02:55:00,-11367.86328125,-3156.1879882812,-6914.5458984375
2019-01-29 03:00:00,-11848.576171875,-2013.5791015625,-7601.2407226562
2019-01-29 03:05:00,-11294.8046875,-1883.779296875,-6537.7055664062
2019-01-29 03:10:00,-10479.16015625,-534.014465332,-5641.7534179688
2019-01-29 03:15:00,-9251.390625,670.3217773438,-4443.853515625
2019-01-29 03:20:00,-7883.7421875,1262.576171875,-2787.4089355469
2019-01-29 03:25:00,-6650.3046875,3034.4094238281,-2530.58203125
2019-01-29 03:30:00,-6561.4868164062,5412.9140625,-1047.6071777344
2019-01-29 03:35:00,-5136.1157226562,6499.849609375,382.6988220215
2019-01-29 03:40:00,-3425.9770507812,6226.990234375,1596.1936035156
2019-01-29 03:45:00,-4678.5615234375,8213.8857421875,1448.5782470703
2019-01-29 03:50:00,-919.992980957,9537.71484375,3586.6750488281
2019-01-29 03:55:00,-739.1196289062,12102.236328125,5108.3505859375
2019-01-29 04:00:00,975.2754516602,11874.203125,6541.3671875
2019-01-29 04:05:00,3466.8947753906,16692.572265625,9174.4189453125
2019-01-29 04:10:00,2674.3974609375,19103.8046875,11315.5126953125
2019-01-29 04:15:00,8249.6220703125,21552.2421875,13423.7919921875
2019-01-29 04:20:00,9512.28125,23321.8671875,16408.712890625
2019-01-29 04:25:00,11577.9140625,27122.912109375,18896.640625
2019-01-29 04:30:00,13693.205078125,28958.900390625,21280.22265625
2019-01-29 04:35:00,15286.2861328125,36676.62109375,23983.86328125
2019-01-29 04:40:00,19844.21875,38607.21875,28304.09765625
2019-01-29 04:45:00,22413.96875,41419.86328125,31212.119140625
2019-01-29 04:50:00,25400.18359375,46795.5546875,35563.30078125
2019-01-29 04:55:00,29315.865234375,54295.20703125,40253.75
2019-01-29 05:00:00,35334.3125,59466.7265625,45199.75390625
2019-01-29 05:05:00,40491.953125,69714.40625,50631.0234375
2019-01-29 05:10:00,46109.55078125,76582.515625,59446.1875
2019-01-29 05:15:00,51194.45703125,87985.453125,67393.9375
2019-01-29 05:20:00,58032.6484375,97331.34375,75174.3125
2019-01-29 05:25:00,68871.9921875,110342.90625,83823.75
2019-01-29 05:30:00,71015.71875,118347.46875,88900.59375
2019-01-29 05:35:00,82666.71875,130884.671875,103485.5390625
2019-01-29 05:40:00,91714.6953125,150041.8125,110630.3515625
2019-01-29 05:45:00,95793.3125,154023.71875,122796.65625
2019-01-29 05:50:00,106695.7421875,170773.4375,134415.625
2019-01-29 05:55:00,117199.3203125,192075.546875,146867.203125
2019-01-29 06:00:00,130158.6796875,210036.59375,164526.28125
2019-01-29 06:05:00,145505.5,224185.921875,182872.921875
2019-01-29 06:10:00,149230.375,239493.78125,199299.953125
2019-01-29 06:15:00,165725.0,253370.296875,207526.0
2019-01-29 06:20:00,184149.078125,275931.71875,228025.203125
2019-01-29 06:25:00,192879.671875,286818.03125,240717.0
2019-01-29 06:30:00,205698.875,311437.46875,251549.296875
2019-01-29 06:35:00,221360.1875,318149.8125,265440.46875
2019-01-29 06:40:00,230153.4375,324578.15625,269509.59375
2019-01-29 06:45:00,237685.96875,332528.75,280625.96875
2019-01-29 06:50:00,242742.5,339163.875,287098.90625
2019-01-29 06:55:00,250065.515625,340544.46875,292155.1875
2019-01-29 07:00:00,241166.984375,351107.5,295858.59375
2019-01-29 07:05:00,251035.59375,356415.09375,303936.875
2019-01-29 07:10:00,252329.5,364152.96875,304149.0625
2019-01-29 07:15:00,255231.9375,352385.59375,301848.21875
2019-01-29 07:20:00,250644.3125,361625.84375,310366.90625
2019-01-29 07:25:00,254947.71875,363064.125,306040.1875
2019-01-29 07:30:00,255214.609375,361493.65625,306759.75
2019-01-29 07:35:00,255897.0625,361154.15625,306210.1875
2019-01-29 07:40:00,253583.6875,357116.5,303634.65625
2019-01-29 07:45:00,248015.875,359183.625,305161.03125
2019-01-29 07:50:00,239531.796875,355527.96875,300272.8125
2019-01-29 07:55:00,242066.671875,351884.65625,295008.125
2019-01-29 08:00:00,233460.171875,346662.84375,283742.96875
2019-01-29 08:05:00,230350.296875,349645.34375,277966.96875
2019-01-29 08:10:00,219190.59375,336440.84375,272860.65625
2019-01-29 08:15:00,214611.015625,329806.625,261689.828125
2019-01-29 08:20:00,210336.140625,312668.625,250115.375
2019-01-29 08:25:00,204980.34375,304194.21875,244678.859375
2019-01-29 08:30:00,192917.875,295886.125,230624.296875
2019-01-29 08:35:00,188925.953125,286584.71875,221810.1875
2019-01-29 08:40:00,184653.390625,281137.28125,213883.0
2019-01-29 08:45:00,171832.53125,266835.5625,195388.265625
2019-01-29 08:50:00,161457.84375,250802.34375,185741.75
2019-01-29 08:55:00,156554.9375,245061.421875,178515.609375
2019-01-29 09:00:00,152997.5,225779.046875,168407.546875
2019-01-29 09:05:00,146992.59375,216636.484375,161041.828125
2019-01-29 09:10:00,141700.640625,204538.0625,156140.96875
2019-01-29 09:15:00,139137.4375,190780.71875,151588.0
2019-01-29 09:20:00,134331.453125,182041.296875,148253.125
2019-01-29 09:25:00,132331.34375,180994.25,145893.71875
2019-01-29 09:30:00,128160.21875,177209.796875,141292.71875
2019-01-29 09:35:00,127193.828125,172377.34375,142728.546875
2019-01-29 09:40:00,121525.8203125,170254.828125,137646.4375
2019-01-29 09:45:00,121752.671875,159192.15625,134319.015625
2019-01-29 09:50:00,119577.6484375,156177.890625,132836.921875
2019-01-29 09:55:00,119674.578125,155418.671875,131559.078125
2019-01-29 10:00:00,114174.8671875,152676.78125,131386.703125
2019-01-29 10:05:00,116017.9921875,146672.21875,128253.8203125
2019-01-29 10:10:00,112472.3203125,153404.171875,128344.078125
2019-01-29 10:15:00,112123.4453125,146995.28125,127080.1328125
2019-01-29 10:20:00,110952.0234375,147560.03125,124510.4765625
2019-01-29 10:25:00,112438.515625,144582.734375,124313.5625
2019-01-29 10:30:00,111233.7421875,145354.890625,125778.625
2019-01-29 10:35:00,111556.5390625,155948.921875,127266.7109375
2019-01-29 10:40:00,114394.984375,148304.125,128489.2421875
2019-01-29 10:45:00,117329.6875,148208.234375,129045.1171875
2019-01-29 10:50:00,118918.6875,151682.34375,132258.296875
2019-01-29 10:55:00,120786.1796875,152478.671875,135986.625
2019-01-29 11:00:00,120280.3125,155338.515625,135111.765625
2019-01-29 11:05:00,117736.4375,154234.0625,136559.984375
2019-01-29 11:10:00,124949.2734375,154445.640625,135642.765625
