anomaly_score;number_of_requests;weekday_id;dateminute
0,763584524331;34823;6;201812232312
0,727710655451;62919;2;201812262110
0,796298586635;86427;2;201812260831
0,899633896306;217995;3;201901031551
0,826703184738;175274;3;201901030726
0,740173226193;54338;3;201812272158
0,680224087246;56193;0;201812242209
0,769874623985;59912;5;201812292102
0,811090640347;39649;5;201812220519
0,759238672917;28489;4;201812280159
0,863475715731;40828;5;201812220129
0,811147854178;38874;5;201812220510
0,820787967468;29709;4;201901040208
0,821793530602;165449;6;201901061239
0,83628098278;100005;0;201812241742
0,865881164231;210801;3;201901031747
0,863580046859;47384;5;201812220046
1,2234451965;27582;1;201901080343
0,818796161882;67261;5;201901052031
0,825155538588;143478;4;201812281824
0,709489059008;54251;0;201812242151
0,816457394351;179252;6;201812301335
0,811062058959;111987;0;201812240743
0,83511420535;62527;2;201901022039
0,738582302197;28235;6;201812300258
1,68287059128;272718;1;201901080737
0,817492729394;170722;4;201901041826
0,946648880227;76352;6;201901060821
0,945830106608;116748;2;201901021900
0,743342136935;47140;3;201812272246
0,839021737595;135824;2;201812260949
0,927103400892;223239;4;201901041317
0,858045395187;186457;5;201901051700
0,773231880868;60787;5;201812292100
0,77178705232;52274;3;201901032157
0,687651705164;55186;0;201812242248
1,18428702737;239710;0;201901071614
0,8139736185;103703;3;201812270716
0,954925133928;103961;6;201901061822
0,914581538757;69346;4;201812212303
0,82621657117;187475;4;201901041013
0,71633103479;36439;5;201812290114
0,997008143996;118803;1;201901011715
0,820568491575;31847;0;201812310027
1,42379814897;260866;0;201901071702
0,857531074001;49313;1;201901012108
0,871881827574;204554;2;201901021419
0,952280963488;132849;0;201812310853
0,851623854958;185868;6;201812301254
1,2898929293;21240;1;201901080322
0,879621999755;102050;6;201812300914
0,73439091674;60466;6;201812232105
0,82632947007;193540;6;201812231122
0,846883883317;100704;6;201812231853
0,883642827531;150992;5;201901050908
0,84199764714;25790;4;201901040045
1,00278088553;229976;5;201812221425
1,01841395133;94410;1;201901011818
0,830210159554;53299;2;201901022131
0,9274629562;71405;4;201812212221
0,730048068804;65463;0;201812241909
0,784658687458;148126;1;201812251042
0,824610836049;207717;4;201901041235
1,03294913386;16362;6;201812230126
0,694690500724;33579;5;201812290138
1,05614812069;223792;0;201901071533
0,804868600482;180821;6;201812301507
0,795923930223;193037;6;201812231443
0,724729288221;54374;1;201812252157
0,744767402578;47973;3;201812272228
0,808446818529;52059;3;201901030513
0,870659165478;153426;5;201901051753
1,35080305838;256494;0;201901071649
0,835561402812;123097;6;201812230924
0,810258287577;39353;4;201901040450
0,741827710762;24878;2;201812260325
1,00091140749;230273;5;201812291124
0,937090510335;222616;3;201901031604
0,926423021713;34607;1;201901010230
0,858217449976;204899;5;201901051044
1,01767277603;130110;1;201901011146
0,815673212599;117783;6;201812231820
0,707982787244;56245;1;201812252126
0,791857863796;24220;4;201812281640
0,912592161105;179551;0;201812311405
0,900460053027;162388;0;201901071034
0,742429177389;51019;2;201812262209
1,41903208884;18617;1;201901080021
0,880455008637;49331;6;201901062137
0,798285178861;29445;2;201901020053
0,896351941198;183582;5;201812220853
0,890605512373;146310;5;201901050843
0,803388588213;95826;4;201812280706
0,824690393889;81612;5;201812290728
0,857948116781;215496;5;201901051050
0,713342606584;64694;1;201812251956
0,912829152118;160343;0;201901071021
1,1135232959;237519;5;201812291054
0,904669289396;168315;0;201812311443
1,11289233326;211504;4;201812211801
0,712956281882;56845;1;201812252110
0,772827934128;142771;0;201812241342
