id;value;weekday_string;weekday
2018-12-21_22-50;67008;Freitag;4
2018-12-21_22-51;70988;Freitag;4
2018-12-21_22-52;67899;Freitag;4
2018-12-21_22-53;68206;Freitag;4
2018-12-21_22-54;71160;Freitag;4
2018-12-21_22-55;67901;Freitag;4
2018-12-21_22-56;65160;Freitag;4
2018-12-21_22-57;69258;Freitag;4
2018-12-21_22-58;67859;Freitag;4
2018-12-21_22-59;65630;Freitag;4
2018-12-21_23-00;67531;Freitag;4
2018-12-21_23-01;68853;Freitag;4
2018-12-21_23-02;64612;Freitag;4
2018-12-21_23-03;69346;Freitag;4
2018-12-21_23-04;65201;Freitag;4
2018-12-21_23-05;67866;Freitag;4
2018-12-21_23-06;65803;Freitag;4
2018-12-21_23-07;67906;Freitag;4
2018-12-21_23-08;65088;Freitag;4
2018-12-21_23-09;65340;Freitag;4
2018-12-21_23-10;64052;Freitag;4
2018-12-21_23-11;66251;Freitag;4
2018-12-21_23-12;65259;Freitag;4
2018-12-21_23-13;66165;Freitag;4
2018-12-21_23-14;61153;Freitag;4
2018-12-21_23-15;64596;Freitag;4
2018-12-21_23-16;64331;Freitag;4
2018-12-21_23-17;64324;Freitag;4
2018-12-21_23-18;62763;Freitag;4
2018-12-21_23-19;65334;Freitag;4
2018-12-21_23-20;64563;Freitag;4
2018-12-21_23-21;60910;Freitag;4
2018-12-21_23-22;62283;Freitag;4
2018-12-21_23-23;66595;Freitag;4
2018-12-21_23-24;59782;Freitag;4
2018-12-21_23-25;60841;Freitag;4
2018-12-21_23-26;65715;Freitag;4
2018-12-21_23-27;61127;Freitag;4
2018-12-21_23-28;58381;Freitag;4
2018-12-21_23-29;64913;Freitag;4
2018-12-21_23-30;61248;Freitag;4
2018-12-21_23-31;59971;Freitag;4
2018-12-21_23-32;62222;Freitag;4
2018-12-21_23-33;60571;Freitag;4
2018-12-21_23-34;60490;Freitag;4
2018-12-21_23-35;60153;Freitag;4
2018-12-21_23-36;61186;Freitag;4
2018-12-21_23-37;58944;Freitag;4
2018-12-21_23-38;62432;Freitag;4
2018-12-21_23-39;62790;Freitag;4
2018-12-21_23-40;59152;Freitag;4
2018-12-21_23-41;59051;Freitag;4
2018-12-21_23-42;60571;Freitag;4
