Datetime,Count
2018-12-21 08:50:00,353353.80000000005
2018-12-21 08:55:00,349393.2
2018-12-21 09:00:00,345980.4
2018-12-21 09:05:00,344507.4
2018-12-21 09:10:00,344972.60000000003
2018-12-21 09:15:00,346501.60000000003
2018-12-21 09:20:00,348799.00000000006
2018-12-21 09:25:00,351539.4
2018-12-21 09:30:00,355331.0
2018-12-21 09:35:00,358963.2
2018-12-21 09:40:00,362100.4
2018-12-21 09:45:00,364717.2
2018-12-21 09:50:00,366747.39999999997
2018-12-21 09:55:00,368344.60000000003
2018-12-21 10:00:00,370556.80000000005
2018-12-21 10:05:00,373646.0
2018-12-21 10:10:00,377133.8
2018-12-21 10:15:00,380857.8
2018-12-21 10:20:00,384830.8
2018-12-21 10:25:00,388670.00000000006
2018-12-21 10:30:00,392654.0
2018-12-21 10:35:00,396864.0
2018-12-21 10:40:00,400315.60000000003
2018-12-21 10:45:00,403375.4
2018-12-21 10:50:00,406609.0
2018-12-21 10:55:00,409092.2
2018-12-21 11:00:00,410767.2
2018-12-21 11:05:00,412134.4
2018-12-21 11:10:00,412176.60000000003
2018-12-21 11:15:00,410925.0
2018-12-21 11:20:00,409734.6000000001
2018-12-21 11:25:00,409084.80000000005
2018-12-21 11:30:00,409052.00000000006
2018-12-21 11:35:00,409591.0
2018-12-21 11:40:00,410107.80000000005
2018-12-21 11:45:00,410736.4
2018-12-21 11:50:00,411523.4
2018-12-21 11:55:00,412765.20000000007
2018-12-21 12:00:00,414117.8
2018-12-21 12:05:00,416356.4
2018-12-21 12:10:00,418080.2
2018-12-21 12:15:00,419721.2
2018-12-21 12:20:00,421281.0
2018-12-21 12:25:00,423752.0
2018-12-21 12:30:00,426628.60000000003
2018-12-21 12:35:00,429519.60000000003
2018-12-21 12:40:00,431834.60000000003
2018-12-21 12:45:00,433293.0
2018-12-21 12:50:00,434674.4
2018-12-21 12:55:00,435618.6
2018-12-21 13:00:00,437389.6
2018-12-21 13:05:00,439504.19999999995
2018-12-21 13:10:00,442179.4
2018-12-21 13:15:00,443968.80000000005
2018-12-21 13:20:00,446177.39999999997
2018-12-21 13:25:00,448585.0
2018-12-21 13:30:00,451057.2
2018-12-21 13:35:00,453525.60000000003
2018-12-21 13:40:00,455912.4000000001
2018-12-21 13:45:00,457520.20000000007
2018-12-21 13:50:00,458949.20000000007
2018-12-21 13:55:00,460220.2
2018-12-21 14:00:00,461898.4
2018-12-21 14:05:00,463564.8
2018-12-21 14:10:00,465079.0
2018-12-21 14:15:00,466011.4
2018-12-21 14:20:00,467099.4
2018-12-21 14:25:00,467858.2
2018-12-21 14:30:00,468742.80000000005
2018-12-21 14:35:00,469945.4
2018-12-21 14:40:00,470338.80000000005
2018-12-21 14:45:00,471199.00000000006
2018-12-21 14:50:00,471553.4
2018-12-21 14:55:00,472234.2
2018-12-21 15:00:00,472818.80000000005
2018-12-21 15:05:00,474019.2
2018-12-21 15:10:00,474019.80000000005
2018-12-21 15:15:00,473914.2
2018-12-21 15:20:00,473714.6000000001
2018-12-21 15:25:00,473094.4000000001
2018-12-21 15:30:00,472263.60000000003
2018-12-21 15:35:00,424628.4
2018-12-21 15:40:00,376691.80000000005
2018-12-21 15:45:00,328303.4
2018-12-21 15:50:00,280204.2
2018-12-21 15:55:00,232354.80000000002
2018-12-21 16:00:00,231382.2
2018-12-21 16:05:00,230527.00000000003
2018-12-21 16:10:00,229464.40000000002
2018-12-21 16:15:00,227965.60000000003
2018-12-21 16:20:00,226228.40000000002
2018-12-21 16:25:00,224283.6
2018-12-21 16:30:00,222427.80000000002
2018-12-21 16:35:00,220385.40000000002
2018-12-21 16:40:00,218109.6
2018-12-21 16:45:00,215233.6
2018-12-21 16:50:00,212705.2
2018-12-21 16:55:00,210059.6
2018-12-21 17:00:00,207175.80000000002
2018-12-21 17:05:00,204201.4
2018-12-21 17:10:00,201076.0
2018-12-21 17:15:00,197386.6
2018-12-21 17:20:00,193437.40000000002
