id;value
2018-12-21_20-42;84296
2018-12-21_20-43;85395
2018-12-21_20-44;86778
2018-12-21_20-45;84894
2018-12-21_20-46;83895
2018-12-21_20-47;86152
2018-12-21_20-48;84782
2018-12-21_20-49;86255
2018-12-21_20-50;82452
2018-12-21_20-51;85141
2018-12-21_20-52;85458
2018-12-21_20-53;83120
2018-12-21_20-54;82677
2018-12-21_20-55;85923
2018-12-21_20-56;82076
2018-12-21_20-57;83688
2018-12-21_20-58;84974
2018-12-21_20-59;81047
2018-12-21_21-00;86219
2018-12-21_21-01;83151
2018-12-21_21-02;81636
2018-12-21_21-03;81073
2018-12-21_21-04;85600
2018-12-21_21-05;80805
2018-12-21_21-06;83722
2018-12-21_21-07;84086
2018-12-21_21-08;78977
2018-12-21_21-09;82974
2018-12-21_21-10;83750
2018-12-21_21-11;80507
2018-12-21_21-12;79524
2018-12-21_21-13;81438
2018-12-21_21-14;82042
2018-12-21_21-15;80968
2018-12-21_21-16;80727
2018-12-21_21-17;75134
2018-12-21_21-18;83846
2018-12-21_21-19;77220
2018-12-21_21-20;78722
2018-12-21_21-21;77969
2018-12-21_21-22;80810
2018-12-21_21-23;75814
2018-12-21_21-24;80017
2018-12-21_21-25;82281
2018-12-21_21-26;78163
2018-12-21_21-27;76855
2018-12-21_21-28;82920
2018-12-21_21-29;81833
2018-12-21_21-30;78012
2018-12-21_21-31;76191
2018-12-21_21-32;79838
2018-12-21_21-33;78522
2018-12-21_21-34;76246
2018-12-21_21-35;78470
2018-12-21_21-36;80402
2018-12-21_21-37;78680
2018-12-21_21-38;76219
2018-12-21_21-39;78858
2018-12-21_21-40;76575
2018-12-21_21-41;78770
2018-12-21_21-42;77287
2018-12-21_21-43;78399
2018-12-21_21-44;76371
2018-12-21_21-45;79315
2018-12-21_21-46;75471
2018-12-21_21-47;76810
2018-12-21_21-48;80795
2018-12-21_21-49;72825
2018-12-21_21-50;79402
2018-12-21_21-51;79482
2018-12-21_21-52;76590
2018-12-21_21-53;73794
2018-12-21_21-54;81033
2018-12-21_21-55;75932
2018-12-21_21-56;75188
2018-12-21_21-57;77794
2018-12-21_21-58;77094
2018-12-21_21-59;76792
2018-12-21_22-00;75203
2018-12-21_22-01;76704
2018-12-21_22-02;74660
2018-12-21_22-03;76143
2018-12-21_22-04;73873
2018-12-21_22-05;77891
2018-12-21_22-06;76052
2018-12-21_22-07;74426
2018-12-21_22-08;73947
2018-12-21_22-09;77410
2018-12-21_22-10;73758
2018-12-21_22-11;78524
2018-12-21_22-12;74285
2018-12-21_22-13;71696
2018-12-21_22-14;76301
2018-12-21_22-15;74419
2018-12-21_22-16;72593
2018-12-21_22-17;73858
2018-12-21_22-18;74863
2018-12-21_22-19;73422
2018-12-21_22-20;74516
2018-12-21_22-21;71405
2018-12-21_22-22;74878
2018-12-21_22-23;70928
2018-12-21_22-24;72415
2018-12-21_22-25;72085
2018-12-21_22-26;74538
2018-12-21_22-27;71000
2018-12-21_22-28;71602
2018-12-21_22-29;69573
2018-12-21_22-30;72549
2018-12-21_22-31;72001
2018-12-21_22-32;71534
2018-12-21_22-33;70928
2018-12-21_22-34;71117
2018-12-21_22-35;74247
2018-12-21_22-36;68250
2018-12-21_22-37;71897
2018-12-21_22-38;68829
2018-12-21_22-39;70194
2018-12-21_22-40;71418
2018-12-21_22-41;70811
2018-12-21_22-42;69650
2018-12-21_22-43;69517
2018-12-21_22-44;71607
2018-12-21_22-45;67370
2018-12-21_22-46;70359
2018-12-21_22-47;69791
2018-12-21_22-48;71598
2018-12-21_22-49;67027
2018-12-21_22-50;67008
2018-12-21_22-51;70988
2018-12-21_22-52;67899
2018-12-21_22-53;68206
2018-12-21_22-54;71160
2018-12-21_22-55;67901
2018-12-21_22-56;65160
2018-12-21_22-57;69258
2018-12-21_22-58;67859
2018-12-21_22-59;65630
2018-12-21_23-00;67531
2018-12-21_23-01;68853
2018-12-21_23-02;64612
2018-12-21_23-03;69346
2018-12-21_23-04;65201
2018-12-21_23-05;67866
2018-12-21_23-06;65803
2018-12-21_23-07;67906
2018-12-21_23-08;65088
2018-12-21_23-09;65340
2018-12-21_23-10;64052
2018-12-21_23-11;66251
2018-12-21_23-12;65259
2018-12-21_23-13;66165
2018-12-21_23-14;61153
2018-12-21_23-15;64596
2018-12-21_23-16;64331
2018-12-21_23-17;64324
2018-12-21_23-18;62763
2018-12-21_23-19;65334
2018-12-21_23-20;64563
2018-12-21_23-21;60910
2018-12-21_23-22;62283
2018-12-21_23-23;66595
2018-12-21_23-24;59782
2018-12-21_23-25;60841
2018-12-21_23-26;65715
2018-12-21_23-27;61127
2018-12-21_23-28;58381
2018-12-21_23-29;64913
2018-12-21_23-30;61248
2018-12-21_23-31;59971
2018-12-21_23-32;62222
2018-12-21_23-33;60571
2018-12-21_23-34;60490
2018-12-21_23-35;60153
2018-12-21_23-36;61186
2018-12-21_23-37;58944
2018-12-21_23-38;62432
2018-12-21_23-39;62790
2018-12-21_23-40;59152
2018-12-21_23-41;59051
2018-12-21_23-42;60571
2018-12-21_23-43;56604
2018-12-21_23-44;63249
2018-12-21_23-45;57840
2018-12-21_23-46;58496
2018-12-21_23-47;59994
2018-12-21_23-48;57079
2018-12-21_23-49;54913
2018-12-21_23-50;63256
2018-12-21_23-51;55102
2018-12-21_23-52;55990
2018-12-21_23-53;56962
2018-12-21_23-54;55378
2018-12-21_23-55;60892
2018-12-21_23-56;54573
2018-12-21_23-57;54380
2018-12-21_23-58;57043
2018-12-21_23-59;55797
2018-12-22_00-00;52740
2018-12-22_00-01;59176
2018-12-22_00-02;54146
2018-12-22_00-03;54248
2018-12-22_00-04;55977
2018-12-22_00-05;55829
2018-12-22_00-06;54238
2018-12-22_00-07;55793
2018-12-22_00-08;53017
2018-12-22_00-09;54754
2018-12-22_00-10;52856
2018-12-22_00-11;53329
2018-12-22_00-12;51248
2018-12-22_00-13;54910
2018-12-22_00-14;51740
2018-12-22_00-15;53155
2018-12-22_00-16;52737
2018-12-22_00-17;52261
2018-12-22_00-18;51373
2018-12-22_00-19;51237
2018-12-22_00-20;52021
2018-12-22_00-21;52774
2018-12-22_00-22;48662
2018-12-22_00-23;50658
2018-12-22_00-24;52257
2018-12-22_00-25;48951
2018-12-22_00-26;51362
2018-12-22_00-27;49401
2018-12-22_00-28;50456
2018-12-22_00-29;48115
2018-12-22_00-30;49116
2018-12-22_00-31;49120
2018-12-22_00-32;48631
2018-12-22_00-33;48389
2018-12-22_00-34;48341
2018-12-22_00-35;49976
2018-12-22_00-36;47208
2018-12-22_00-37;48306
2018-12-22_00-38;49892
2018-12-22_00-39;46575
2018-12-22_00-40;49175
2018-12-22_00-41;47424
2018-12-22_00-42;45571
2018-12-22_00-43;50152
2018-12-22_00-44;46602
2018-12-22_00-45;45190
2018-12-22_00-46;47384
2018-12-22_00-47;47938
2018-12-22_00-48;44876
2018-12-22_00-49;47216
2018-12-22_00-50;47129
2018-12-22_00-51;45169
2018-12-22_00-52;46689
2018-12-22_00-53;45535
2018-12-22_00-54;46793
2018-12-22_00-55;45625
2018-12-22_00-56;44967
2018-12-22_00-57;44930
2018-12-22_00-58;46622
2018-12-22_00-59;45980
2018-12-22_01-00;45427
2018-12-22_01-01;45490
2018-12-22_01-02;43670
2018-12-22_01-03;45314
2018-12-22_01-04;45447
2018-12-22_01-05;42260
2018-12-22_01-06;45985
2018-12-22_01-07;45213
2018-12-22_01-08;41461
2018-12-22_01-09;43394
2018-12-22_01-10;46899
2018-12-22_01-11;40388
2018-12-22_01-12;44544
2018-12-22_01-13;43304
2018-12-22_01-14;41664
2018-12-22_01-15;44398
2018-12-22_01-16;42923
2018-12-22_01-17;41341
2018-12-22_01-18;42871
2018-12-22_01-19;43500
2018-12-22_01-20;40629
2018-12-22_01-21;42141
2018-12-22_01-22;43080
2018-12-22_01-23;41338
2018-12-22_01-24;43082
2018-12-22_01-25;42053
2018-12-22_01-26;40662
2018-12-22_01-27;41621
2018-12-22_01-28;41249
2018-12-22_01-29;40828
2018-12-22_01-30;41343
2018-12-22_01-31;40785
2018-12-22_01-32;42185
2018-12-22_01-33;39925
2018-12-22_01-34;40265
2018-12-22_01-35;41242
2018-12-22_01-36;40484
2018-12-22_01-37;39793
2018-12-22_01-38;40048
2018-12-22_01-39;41009
2018-12-22_01-40;39602
2018-12-22_01-41;40631
2018-12-22_01-42;41791
2018-12-22_01-43;38825
2018-12-22_01-44;39532
2018-12-22_01-45;40208
2018-12-22_01-46;40061
2018-12-22_01-47;40625
2018-12-22_01-48;39030
2018-12-22_01-49;38845
2018-12-22_01-50;40422
2018-12-22_01-51;39983
2018-12-22_01-52;37714
2018-12-22_01-53;39561
2018-12-22_01-54;40674
2018-12-22_01-55;37262
2018-12-22_01-56;39704
2018-12-22_01-57;41793
2018-12-22_01-58;37929
2018-12-22_01-59;38743
2018-12-22_02-00;39350
2018-12-22_02-01;39509
2018-12-22_02-02;36468
2018-12-22_02-03;38826
2018-12-22_02-04;39373
2018-12-22_02-05;37234
2018-12-22_02-06;38254
2018-12-22_02-07;39914
2018-12-22_02-08;36812
2018-12-22_02-09;37770
2018-12-22_02-10;39539
2018-12-22_02-11;37440
2018-12-22_02-12;38781
2018-12-22_02-13;39464
2018-12-22_02-14;36532
2018-12-22_02-15;38018
2018-12-22_02-16;37988
2018-12-22_02-17;36608
2018-12-22_02-18;36297
2018-12-22_02-19;38144
2018-12-22_02-20;36530
2018-12-22_02-21;37632
2018-12-22_02-22;37094
2018-12-22_02-23;37098
2018-12-22_02-24;37409
2018-12-22_02-25;36767
2018-12-22_02-26;36860
2018-12-22_02-27;37539
2018-12-22_02-28;35107
2018-12-22_02-29;38831
2018-12-22_02-30;38358
2018-12-22_02-31;35623
2018-12-22_02-32;36486
2018-12-22_02-33;36138
2018-12-22_02-34;35938
2018-12-22_02-35;37529
2018-12-22_02-36;34953
2018-12-22_02-37;36925
2018-12-22_02-38;38847
2018-12-22_02-39;32969
2018-12-22_02-40;36702
2018-12-22_02-41;38610
2018-12-22_02-42;34322
2018-12-22_02-43;36114
2018-12-22_02-44;38345
2018-12-22_02-45;34712
2018-12-22_02-46;35775
2018-12-22_02-47;38358
2018-12-22_02-48;34111
2018-12-22_02-49;37184
2018-12-22_02-50;37474
2018-12-22_02-51;34957
2018-12-22_02-52;35845
2018-12-22_02-53;36504
2018-12-22_02-54;35464
2018-12-22_02-55;36514
2018-12-22_02-56;35240
2018-12-22_02-57;34556
2018-12-22_02-58;36983
2018-12-22_02-59;34699
2018-12-22_03-00;35627
2018-12-22_03-01;36583
2018-12-22_03-02;34733
2018-12-22_03-03;35077
2018-12-22_03-04;37885
2018-12-22_03-05;33569
2018-12-22_03-06;36333
2018-12-22_03-07;36623
2018-12-22_03-08;32923
2018-12-22_03-09;36709
2018-12-22_03-10;35132
2018-12-22_03-11;34835
2018-12-22_03-12;35681
2018-12-22_03-13;36690
2018-12-22_03-14;34873
2018-12-22_03-15;36490
2018-12-22_03-16;35141
2018-12-22_03-17;35367
2018-12-22_03-18;36754
2018-12-22_03-19;35000
2018-12-22_03-20;35738
2018-12-22_03-21;39797
2018-12-22_03-22;34207
2018-12-22_03-23;35275
2018-12-22_03-24;36513
2018-12-22_03-25;35836
2018-12-22_03-26;35388
2018-12-22_03-27;37876
2018-12-22_03-28;33893
2018-12-22_03-29;35760
2018-12-22_03-30;38451
2018-12-22_03-31;35305
2018-12-22_03-32;34733
2018-12-22_03-33;37644
2018-12-22_03-34;36800
2018-12-22_03-35;35257
2018-12-22_03-36;37157
2018-12-22_03-37;36871
2018-12-22_03-38;34499
2018-12-22_03-39;36777
2018-12-22_03-40;36739
2018-12-22_03-41;37466
2018-12-22_03-42;34660
2018-12-22_03-43;37539
2018-12-22_03-44;38063
2018-12-22_03-45;33730
2018-12-22_03-46;37170
2018-12-22_03-47;37886
2018-12-22_03-48;35857
2018-12-22_03-49;36684
2018-12-22_03-50;37263
2018-12-22_03-51;35788
2018-12-22_03-52;37202
2018-12-22_03-53;37773
2018-12-22_03-54;35898
2018-12-22_03-55;36207
2018-12-22_03-56;37380
2018-12-22_03-57;35364
2018-12-22_03-58;36390
2018-12-22_03-59;37968
2018-12-22_04-00;36230
2018-12-22_04-01;36443
2018-12-22_04-02;37527
2018-12-22_04-03;37428
2018-12-22_04-04;35874
2018-12-22_04-05;37232
2018-12-22_04-06;37917
2018-12-22_04-07;36886
2018-12-22_04-08;37242
2018-12-22_04-09;38676
2018-12-22_04-10;37727
2018-12-22_04-11;35485
2018-12-22_04-12;37557
2018-12-22_04-13;38798
2018-12-22_04-14;36074
2018-12-22_04-15;37461
2018-12-22_04-16;39054
2018-12-22_04-17;36524
2018-12-22_04-18;38067
2018-12-22_04-19;38388
2018-12-22_04-20;36869
2018-12-22_04-21;37618
2018-12-22_04-22;39092
2018-12-22_04-23;36982
2018-12-22_04-24;37158
2018-12-22_04-25;38281
2018-12-22_04-26;37607
2018-12-22_04-27;37818
2018-12-22_04-28;38552
2018-12-22_04-29;37359
2018-12-22_04-30;37974
2018-12-22_04-31;36484
2018-12-22_04-32;39874
2018-12-22_04-33;37017
2018-12-22_04-34;38472
2018-12-22_04-35;39797
2018-12-22_04-36;37895
2018-12-22_04-37;37669
2018-12-22_04-38;37663
2018-12-22_04-39;39255
2018-12-22_04-40;38982
2018-12-22_04-41;37697
2018-12-22_04-42;40090
2018-12-22_04-43;38462
2018-12-22_04-44;38889
2018-12-22_04-45;38835
2018-12-22_04-46;38321
2018-12-22_04-47;39903
2018-12-22_04-48;39443
2018-12-22_04-49;38596
2018-12-22_04-50;39915
2018-12-22_04-51;39333
2018-12-22_04-52;38514
2018-12-22_04-53;38923
2018-12-22_04-54;39683
2018-12-22_04-55;38801
2018-12-22_04-56;39290
2018-12-22_04-57;39560
2018-12-22_04-58;39051
2018-12-22_04-59;38722
2018-12-22_05-00;40037
2018-12-22_05-01;39295
2018-12-22_05-02;39256
2018-12-22_05-03;41060
2018-12-22_05-04;37556
2018-12-22_05-05;40469
2018-12-22_05-06;39591
2018-12-22_05-07;37596
2018-12-22_05-08;39949
2018-12-22_05-09;40348
2018-12-22_05-10;38874
2018-12-22_05-11;39754
2018-12-22_05-12;39871
2018-12-22_05-13;39715
2018-12-22_05-14;40648
2018-12-22_05-15;40927
2018-12-22_05-16;39900
2018-12-22_05-17;41446
2018-12-22_05-18;40504
2018-12-22_05-19;39649
2018-12-22_05-20;42698
2018-12-22_05-21;40921
2018-12-22_05-22;41397
2018-12-22_05-23;42863
2018-12-22_05-24;40992
2018-12-22_05-25;41093
2018-12-22_05-26;43250
2018-12-22_05-27;41149
2018-12-22_05-28;43227
2018-12-22_05-29;43376
2018-12-22_05-30;39835
2018-12-22_05-31;45777
2018-12-22_05-32;44489
2018-12-22_05-33;42104
2018-12-22_05-34;43384
2018-12-22_05-35;44015
2018-12-22_05-36;44673
2018-12-22_05-37;43902
2018-12-22_05-38;43821
2018-12-22_05-39;47291
2018-12-22_05-40;44123
2018-12-22_05-41;45087
2018-12-22_05-42;47798
2018-12-22_05-43;47059
2018-12-22_05-44;44607
2018-12-22_05-45;46483
2018-12-22_05-46;48852
2018-12-22_05-47;47435
2018-12-22_05-48;46515
2018-12-22_05-49;49160
2018-12-22_05-50;49217
2018-12-22_05-51;48611
2018-12-22_05-52;49172
2018-12-22_05-53;48983
2018-12-22_05-54;49846
2018-12-22_05-55;50405
2018-12-22_05-56;50077
2018-12-22_05-57;50188
2018-12-22_05-58;50883
2018-12-22_05-59;49272
2018-12-22_06-00;51664
2018-12-22_06-01;51703
2018-12-22_06-02;50624
2018-12-22_06-03;49721
2018-12-22_06-04;53137
2018-12-22_06-05;51431
2018-12-22_06-06;52822
2018-12-22_06-07;52474
2018-12-22_06-08;52910
2018-12-22_06-09;53920
2018-12-22_06-10;54189
2018-12-22_06-11;52539
2018-12-22_06-12;54952
2018-12-22_06-13;55976
2018-12-22_06-14;54988
2018-12-22_06-15;54520
2018-12-22_06-16;54748
2018-12-22_06-17;57596
2018-12-22_06-18;54157
2018-12-22_06-19;60951
2018-12-22_06-20;54554
2018-12-22_06-21;59075
2018-12-22_06-22;58905
2018-12-22_06-23;57700
2018-12-22_06-24;59678
2018-12-22_06-25;58960
2018-12-22_06-26;61131
2018-12-22_06-27;59254
2018-12-22_06-28;62350
2018-12-22_06-29;61866
2018-12-22_06-30;61874
2018-12-22_06-31;63382
2018-12-22_06-32;63593
2018-12-22_06-33;64521
2018-12-22_06-34;64752
2018-12-22_06-35;63376
2018-12-22_06-36;66288
2018-12-22_06-37;69933
2018-12-22_06-38;65729
2018-12-22_06-39;68029
2018-12-22_06-40;71558
2018-12-22_06-41;67601
2018-12-22_06-42;67745
2018-12-22_06-43;72460
2018-12-22_06-44;72882
2018-12-22_06-45;72349
2018-12-22_06-46;74994
2018-12-22_06-47;71504
2018-12-22_06-48;77094
2018-12-22_06-49;75421
2018-12-22_06-50;75923
2018-12-22_06-51;79227
2018-12-22_06-52;78555
2018-12-22_06-53;76916
2018-12-22_06-54;81103
2018-12-22_06-55;79345
2018-12-22_06-56;79149
2018-12-22_06-57;79272
2018-12-22_06-58;80520
2018-12-22_06-59;79985
2018-12-22_07-00;79488
2018-12-22_07-01;82897
2018-12-22_07-02;77948
2018-12-22_07-03;80835
2018-12-22_07-04;87948
2018-12-22_07-05;85082
2018-12-22_07-06;83283
2018-12-22_07-07;84422
2018-12-22_07-08;84209
2018-12-22_07-09;84698
2018-12-22_07-10;86771
2018-12-22_07-11;87130
2018-12-22_07-12;90595
2018-12-22_07-13;84526
2018-12-22_07-14;86382
2018-12-22_07-15;90499
2018-12-22_07-16;91374
2018-12-22_07-17;91082
2018-12-22_07-18;95742
2018-12-22_07-19;92117
2018-12-22_07-20;91891
2018-12-22_07-21;93279
2018-12-22_07-22;99032
2018-12-22_07-23;96994
2018-12-22_07-24;95201
2018-12-22_07-25;98645
2018-12-22_07-26;97299
2018-12-22_07-27;98658
2018-12-22_07-28;102041
2018-12-22_07-29;100067
2018-12-22_07-30;100196
2018-12-22_07-31;105482
2018-12-22_07-32;98945
2018-12-22_07-33;105045
2018-12-22_07-34;106873
2018-12-22_07-35;104233
2018-12-22_07-36;104964
2018-12-22_07-37;107926
2018-12-22_07-38;110268
2018-12-22_07-39;107312
2018-12-22_07-40;111808
2018-12-22_07-41;112397
2018-12-22_07-42;112975
2018-12-22_07-43;112918
2018-12-22_07-44;112845
2018-12-22_07-45;117041
2018-12-22_07-46;115155
2018-12-22_07-47;118906
2018-12-22_07-48;119073
2018-12-22_07-49;123116
2018-12-22_07-50;117690
2018-12-22_07-51;120506
2018-12-22_07-52;121437
2018-12-22_07-53;126621
2018-12-22_07-54;119856
2018-12-22_07-55;123531
2018-12-22_07-56;130880
2018-12-22_07-57;126147
2018-12-22_07-58;127549
2018-12-22_07-59;121724
2018-12-22_08-00;127403
2018-12-22_08-01;124792
2018-12-22_08-02;118009
2018-12-22_08-03;125202
2018-12-22_08-04;129355
2018-12-22_08-05;123845
2018-12-22_08-06;126589
2018-12-22_08-07;125916
2018-12-22_08-08;128116
2018-12-22_08-09;129042
2018-12-22_08-10;126581
2018-12-22_08-11;128840
2018-12-22_08-12;130192
2018-12-22_08-13;130062
2018-12-22_08-14;129708
2018-12-22_08-15;135347
2018-12-22_08-16;134590
2018-12-22_08-17;134689
2018-12-22_08-18;139279
2018-12-22_08-19;137019
